G1,G2,Study Time,Chocolates from Gabor,Attendance (%),Sleep Hours,Internet Usage,Final Grade (G3)
11,9,5,0,69,6.599620827216625,2.543493716865976,10.0
8,5,14,0,55,8.906900954650315,5.735179938693615,4.0
17,18,14,4,68,8.29269606238264,5.836780888941376,15.0
19,19,11,2,54,7.089924162064474,1.9150772211736358,15.0
15,13,9,1,52,5.492890616688664,1.110175801487521,10.0
12,15,1,3,50,8.437663173122356,4.600040198315566,10.0
17,14,7,1,87,8.199124381696087,3.0899496693524218,15.0
9,9,5,4,64,5.7383405181481315,1.4442012254378218,7.0
11,12,5,0,83,6.18111315688124,4.418770527885213,10.0
14,14,14,0,84,8.17362903259135,3.7255276413034983,9.0
7,4,2,3,98,5.740913786189639,5.90258411000553,9.0
11,13,11,0,74,8.67100995668551,2.1370474793068945,12.0
15,17,3,0,73,6.698109700785448,3.0198893816327415,14.0
15,15,7,3,61,5.348155850350635,3.7127290169771143,13.0
12,11,6,3,67,8.262994574017124,4.958499942266759,10.0
9,12,12,4,64,6.49403873215355,3.7441932836002936,12.0
8,11,2,0,93,7.1059967766151235,4.064500804309747,6.0
12,12,6,0,65,5.449217377644876,2.130735257949704,5.0
12,10,2,4,76,5.010336059379929,5.2345936404427995,10.0
7,5,2,2,57,7.55194082317319,3.1431527348523787,4.0
10,13,2,2,95,7.060700681334927,1.7047981376088464,7.0
9,12,14,2,74,7.374154276492589,4.320939572527086,12.0
6,8,11,4,66,8.174975401522065,2.0804522659265374,9.0
12,11,3,0,78,7.5864236536914404,1.4878125511964986,10.0
16,13,2,4,57,5.699093771309508,5.309934542021361,9.0
18,16,4,4,64,6.443090076442399,3.300811322442198,12.0
10,13,9,2,76,8.623564419151041,4.746418563478882,12.0
6,8,6,1,95,8.079778801006716,2.4529377990317753,7.0
16,17,1,0,99,7.226548231746869,4.934850674588332,7.0
9,11,8,2,56,6.022579991237089,1.5596796351076516,10.0
5,3,12,1,52,6.20824200733918,2.7798668689742634,9.0
16,14,14,1,78,7.927832270342538,5.8903090898676425,11.0
14,16,7,3,93,8.404697043411083,4.969948581840031,13.0
10,7,10,0,73,7.685698678122458,3.486279651573441,6.0
17,17,3,1,52,8.238119903073766,2.6988873578094257,11.0
16,14,1,2,69,8.066624540801623,5.360678500112383,12.0
13,15,5,3,95,5.598815871827831,3.724238795422578,11.0
5,8,13,0,64,6.695779251653208,4.792125089345555,9.0
15,17,4,4,74,5.611935203314251,4.77053840158082,13.0
15,14,10,2,79,5.94094233920794,1.089728392842459,17.0
19,19,8,1,63,8.47703849860421,1.6312689139630674,11.0
14,15,1,1,56,6.891567862532728,4.298146831973711,9.0
16,13,10,2,66,7.141432407370644,1.808099056429357,10.0
16,17,1,1,93,5.7137838609110885,2.2774667232780237,9.0
19,19,12,3,69,6.249087144195184,5.7331897709980355,13.0
18,18,4,0,85,5.92098467371148,3.8009112918745593,12.0
18,18,8,3,58,5.824744658073706,4.753647534996736,14.0
19,20,5,1,87,7.55184317326388,3.7899036939131996,14.0
18,21,2,4,97,6.027535390582859,3.7625680739136262,12.0
7,7,6,0,71,7.528061944081674,1.4707595506284896,6.0
16,18,5,0,51,5.233818456434216,2.7183159630455154,9.0
11,12,2,2,73,5.567097574108407,2.4121544934325585,10.0
8,8,13,2,57,6.0981610160005015,2.9536418280680663,7.0
13,15,14,4,60,7.388187667582766,4.991720941121642,12.0
7,10,11,0,62,7.7033649803495035,2.8596633395843245,9.0
9,8,11,4,66,6.770867867118108,3.2584840961584134,8.0
7,10,11,2,57,6.783163658308916,2.9869069524265823,10.0
11,11,3,2,70,7.898067405594473,1.467039859876478,12.0
9,10,9,0,67,5.06328436706233,3.2053607912539186,8.0
13,11,7,3,79,6.364360097896882,1.9780463652225753,12.0
11,11,7,1,67,8.274828228476931,1.9336164788652073,5.0
6,4,11,2,95,7.412877640853489,1.4701805221713318,6.0
8,10,6,2,96,6.3489085310216815,2.783354870708824,9.0
13,12,8,3,80,8.622099169318695,4.787409423947087,9.0
16,13,4,3,87,8.09049090979753,2.3822084529169802,12.0
18,21,8,4,81,6.059581788946934,2.561745509427568,17.0
6,5,4,4,60,7.581159350102867,4.213373288362118,3.0
14,14,8,1,94,7.383002912755827,1.9792040629345944,9.0
13,11,9,1,74,6.604751656155931,5.484789652117672,10.0
14,17,3,0,82,6.467824316819202,3.6009526162577723,11.0
9,7,3,4,87,6.374241899102816,3.238014701601085,9.0
6,7,11,2,90,7.468623133582588,3.789100959646007,8.0
8,6,13,4,57,6.769639745922678,1.8301715670809773,10.0
16,17,2,2,60,8.327452453005687,4.067365693195882,13.0
19,21,13,3,71,7.6784104645358475,2.815503683170052,15.0
16,19,10,4,100,5.2797264228377365,5.485931704823095,13.0
11,14,3,3,73,7.560672895312664,1.8442710333884307,10.0
16,13,3,1,90,6.08458974600074,3.5352555193272055,10.0
17,17,5,1,66,7.371247966613691,3.9905631468450897,10.0
12,13,5,0,61,7.720527724413806,1.1669180089319062,8.0
19,16,2,4,95,5.923316756616048,2.818465623780701,14.0
7,5,12,3,81,6.827434579521475,4.663176173504164,8.0
18,16,10,2,64,5.761299451276271,5.101887537244867,12.0
5,2,13,1,65,5.209355503146034,2.5658099740864118,2.0
